state_abbrev	sightings	pc_adult_drink_monthly
AK	4.4	16.0
AL	4.4	13.6
AR	3.9	16.0
AZ	2.1	16.7
CA	2.7	16.6
CO	2.8	19.8
CT	5.1	18.7
DC	2.4	22.5
DE	3.6	18.3
FL	1.5	17.5
GA	2.6	15.1
HI	6.7	20.9
IA	5.3	24.5
ID	3.4	16.0
IL	3.1	20.5
IN	5.1	17.1
KS	4.2	16.7
KY	8.2	15.8
LA	2.2	18.1
MA	4.9	21.1
MD	2.8	14.5
ME	4.1	19.5
MI	5.3	19.8
MN	2.8	21.7
MO	5.1	18.9
MS	2.1	13.7
MT	3.7	19.7
NC	1.9	15.8
ND	7.4	22.7
NE	5.6	22.5
NH	5.1	18.3
NJ	2.1	14.4
NM	3.7	15.6
NV	1.8	16.0
NY	2.3	17.6
OH	4.0	17.2
OK	5.2	13.6
OR	3.7	17.0
PA	5.0	18.5
RI	6.2	17.8
SC	3.1	16.3
SD	8.2	22.3
TN	3.1	15.7
TX	2.3	17.6
UT	3.9	10.5
VA	2.2	16.4
VT	9.7	18.5
WA	2.8	15.4
WI	4.6	25.8
WV	6.0	13.9
WY	13.0	18.5
