time_of_day	apparition_type	sightings_count
Afternoon	Ghostly Entities	54
Afternoon	Mythological Creatures	4
Afternoon	Other Paranormal Entities	22
Afternoon	Shadow Figures	3
Afternoon	Supernatural Beings	1
Evening	Extraterrestrial Entities	7
Evening	Ghostly Entities	2148
Evening	Mythological Creatures	112
Evening	Orbs	168
Evening	Other Paranormal Entities	716
Evening	Shadow Figures	50
Evening	Supernatural Beings	80
Morning	Extraterrestrial Entities	2
Morning	Ghostly Entities	1539
Morning	Mythological Creatures	48
Morning	Orbs	110
Morning	Other Paranormal Entities	456
Morning	Shadow Figures	39
Morning	Supernatural Beings	77
