state_abbrev	sightings	pc_adult_drink_monthly
AK	32	16.0
AL	224	13.6
AR	119	16.0
AZ	156	16.7
CA	1070	16.6
CO	166	19.8
CT	185	18.7
DC	16	22.5
DE	37	18.3
FL	328	17.5
GA	289	15.1
HI	96	20.9
IA	169	24.5
ID	66	16.0
IL	395	20.5
IN	350	17.1
KS	123	16.7
KY	370	15.8
LA	99	18.1
MA	341	21.1
MD	170	14.5
ME	57	19.5
MI	529	19.8
MN	162	21.7
MO	314	18.9
MS	63	13.7
MT	42	19.7
NC	211	15.8
ND	58	22.7
NE	111	22.5
NH	72	18.3
NJ	194	14.4
NM	78	15.6
NV	56	16.0
NY	459	17.6
OH	477	17.2
OK	211	13.6
OR	155	17.0
PA	649	18.5
RI	68	17.8
SC	168	16.3
SD	75	22.3
TN	221	15.7
TX	696	17.6
UT	134	10.5
VA	192	16.4
VT	63	18.5
WA	218	15.4
WI	274	25.8
WV	106	13.9
WY	76	18.5
